no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
Vespasiano,3171204,MG,Minas Gerais        ,Sudeste     ,403.7,528.3,474.3,500.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,432.9,538.9,462.2,500.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,390.2,520.1,626.9,820.0,Sem problemas                                     
Guarapuava,4109401,PR,Paraná              ,Sul         ,601.3,595.8,714.7,680.0,Sem problemas                                     
Rio Branco,1200401,AC,Acre                ,Norte       ,515.0,540.4,631.8,840.0,Sem problemas                                     
Colinas,2103505,MA,Maranhão            ,Nordeste    ,392.3,371.1,396.9,0.0,Em Branco                                         
Osasco,3534401,SP,São Paulo           ,Sudeste     ,550.4,587.7,665.2,780.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Guarulhos,3518800,SP,São Paulo           ,Sudeste     ,457.7,555.8,453.8,640.0,Sem problemas                                     
Cametá,1502103,PA,Pará                ,Norte       ,449.0,526.0,434.5,620.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Ubiratã,4128005,PR,Paraná              ,Sul         ,516.9,510.1,437.7,660.0,Sem problemas                                     
Dom Eliseu,1502939,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Barbacena,3105608,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Maceió,2704302,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,434.0,330.6,421.6,620.0,Sem problemas                                     
Moju,1504703,PA,Pará                ,Norte       ,447.7,520.6,435.1,660.0,Sem problemas                                     
Manaus,1302603,AM,Amazonas            ,Norte       ,494.5,533.2,433.5,560.0,Sem problemas                                     
Santa Maria,4316907,RS,Rio Grande do Sul   ,Sul         ,545.5,596.2,454.3,680.0,Sem problemas                                     
Coromandel,3119302,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Itapema,4208302,SC,Santa Catarina      ,Sul         ,558.0,609.3,745.6,800.0,Sem problemas                                     
Além Paraíba,3101508,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Gurupi,1709500,TO,Tocantins           ,Norte       ,461.8,395.0,384.1,540.0,Sem problemas                                     
Mossoró,2408003,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Pacatuba,2309706,CE,Ceará               ,Nordeste    ,476.5,455.7,448.7,620.0,Sem problemas                                     
Mossoró,2408003,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
João Pinheiro,3136306,MG,Minas Gerais        ,Sudeste     ,,390.3,,940.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,494.6,573.6,504.7,600.0,Sem problemas                                     
Capela,2801306,SE,Sergipe             ,Nordeste    ,468.2,520.2,383.2,600.0,Sem problemas                                     
Bragança Paulista,3507605,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Silvânia,5220603,GO,Goiás               ,Centro-Oeste,443.2,530.3,527.8,620.0,Sem problemas                                     
Santarém,1506807,PA,Pará                ,Norte       ,411.7,472.0,437.0,520.0,Sem problemas                                     
Ubaitaba,2932200,BA,Bahia               ,Nordeste    ,367.4,417.5,442.9,0.0,Fuga ao tema                                      
Conselheiro Lafaiete,3118304,MG,Minas Gerais        ,Sudeste     ,530.5,646.4,692.5,580.0,Sem problemas                                     
Tucano,2931905,BA,Bahia               ,Nordeste    ,451.8,511.3,441.7,0.0,Em Branco                                         
Regeneração,2208809,PI,Piauí               ,Nordeste    ,370.5,442.3,380.6,520.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Ananindeua,1500800,PA,Pará                ,Norte       ,,569.4,,600.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,590.5,603.8,677.4,940.0,Sem problemas                                     
João Pessoa,2507507,PB,Paraíba             ,Nordeste    ,683.9,650.5,901.3,880.0,Sem problemas                                     
Sombrio,4217709,SC,Santa Catarina      ,Sul         ,401.2,515.3,445.7,440.0,Sem problemas                                     
Crato,2304202,CE,Ceará               ,Nordeste    ,387.6,481.7,419.1,440.0,Sem problemas                                     
São João do Piauí,2210003,PI,Piauí               ,Nordeste    ,451.0,459.7,465.2,600.0,Sem problemas                                     
Lauro de Freitas,2919207,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Uruçuí,2211209,PI,Piauí               ,Nordeste    ,405.6,534.5,451.1,600.0,Sem problemas                                     
Paulistana,2207801,PI,Piauí               ,Nordeste    ,369.2,460.4,428.7,940.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,526.2,563.2,398.3,760.0,Sem problemas                                     
Guajará-Mirim,1100106,RO,Rondônia            ,Norte       ,495.2,604.9,623.7,780.0,Sem problemas                                     
Registro,3542602,SP,São Paulo           ,Sudeste     ,432.0,474.5,623.4,880.0,Sem problemas                                     
Janaúba,3135100,MG,Minas Gerais        ,Sudeste     ,543.7,511.4,441.8,680.0,Sem problemas                                     
Campo Mourão,4104303,PR,Paraná              ,Sul         ,502.0,530.4,562.3,480.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,373.9,321.5,397.3,600.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,616.3,444.9,612.2,660.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,411.4,378.5,450.9,500.0,Sem problemas                                     
São Lourenço do Oeste,4216909,SC,Santa Catarina      ,Sul         ,594.6,603.9,646.3,680.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,456.3,518.8,477.2,580.0,Sem problemas                                     
Irecê,2914604,BA,Bahia               ,Nordeste    ,388.3,549.7,439.7,740.0,Sem problemas                                     
Pirassununga,3539301,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Santarém,1506807,PA,Pará                ,Norte       ,355.3,497.3,502.4,460.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,362.5,525.4,500.7,580.0,Sem problemas                                     
São José do Rio Preto,3549805,SP,São Paulo           ,Sudeste     ,638.7,622.6,769.4,880.0,Sem problemas                                     
Almirante Tamandaré,4100400,PR,Paraná              ,Sul         ,,400.5,,0.0,Em Branco                                         
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,565.2,612.2,420.6,560.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,697.5,619.5,859.0,940.0,Sem problemas                                     
Assaré,2301604,CE,Ceará               ,Nordeste    ,447.3,330.9,440.6,0.0,Cópia Texto Motivador                             
Embu das Artes,3515004,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,540.0,562.5,496.0,720.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,564.5,608.2,698.6,800.0,Sem problemas                                     
Coroatá,2103604,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Lauro de Freitas,2919207,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Lontra,3138658,MG,Minas Gerais        ,Sudeste     ,385.8,538.6,443.8,600.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,559.2,602.4,630.8,760.0,Sem problemas                                     
Canoas,4304606,RS,Rio Grande do Sul   ,Sul         ,511.7,572.7,643.7,880.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,559.1,528.5,554.7,580.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,514.2,598.5,773.1,900.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Niterói,3303302,RJ,Rio de Janeiro      ,Sudeste     ,649.2,601.9,716.3,720.0,Sem problemas                                     
Contagem,3118601,MG,Minas Gerais        ,Sudeste     ,643.9,647.2,748.8,720.0,Sem problemas                                     
Cocos,2908101,BA,Bahia               ,Nordeste    ,433.8,498.7,496.5,420.0,Sem problemas                                     
Leme,3526704,SP,São Paulo           ,Sudeste     ,567.7,589.8,637.2,660.0,Sem problemas                                     
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,421.8,513.2,468.5,700.0,Sem problemas                                     
Rio Verde,5218805,GO,Goiás               ,Centro-Oeste,,,,,Missing - Sem informação                          
Taquari,4321303,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Ubatuba,3555406,SP,São Paulo           ,Sudeste     ,,376.5,,520.0,Sem problemas                                     
Sinop,5107909,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
Vacaria,4322509,RS,Rio Grande do Sul   ,Sul         ,564.6,561.2,433.0,720.0,Sem problemas                                     
Três Marias,3169356,MG,Minas Gerais        ,Sudeste     ,378.6,383.7,399.5,400.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,374.9,463.9,411.3,660.0,Sem problemas                                     
Capão do Leão,4304663,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Novo Hamburgo,4313409,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Itararé,3523206,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Rosário do Sul,4316402,RS,Rio Grande do Sul   ,Sul         ,480.1,489.2,506.8,700.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,461.8,383.3,438.0,660.0,Sem problemas                                     
Canoas,4304606,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,571.7,593.8,530.0,760.0,Sem problemas                                     
Santana de Parnaíba,3547304,SP,São Paulo           ,Sudeste     ,477.2,525.5,565.9,680.0,Sem problemas                                     
São Benedito,2312304,CE,Ceará               ,Nordeste    ,422.0,456.4,389.7,600.0,Sem problemas                                     
Senador Canedo,5220454,GO,Goiás               ,Centro-Oeste,360.8,510.0,409.0,500.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,564.6,629.3,676.7,920.0,Sem problemas                                     
Guarapuava,4109401,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Senador Canedo,5220454,GO,Goiás               ,Centro-Oeste,544.5,565.4,419.0,720.0,Sem problemas                                     
Inhapim,3130903,MG,Minas Gerais        ,Sudeste     ,602.6,547.2,714.7,940.0,Sem problemas                                     
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Picos,2208007,PI,Piauí               ,Nordeste    ,478.3,396.5,470.2,460.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,536.7,636.7,635.4,920.0,Sem problemas                                     
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,504.1,577.0,797.2,820.0,Sem problemas                                     
São José dos Campos,3549904,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Maceió,2704302,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Campina Grande,2504009,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Parintins,1303403,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,,508.1,,520.0,Sem problemas                                     
Itaboraí,3301900,RJ,Rio de Janeiro      ,Sudeste     ,497.0,580.2,646.1,880.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,522.3,592.7,534.8,720.0,Sem problemas                                     
Guarulhos,3518800,SP,São Paulo           ,Sudeste     ,503.8,402.2,703.5,760.0,Sem problemas                                     
Macapá,1600303,AP,Amapá               ,Norte       ,488.6,,450.9,,Missing - Sem informação                          
Petrolina,2611101,PE,Pernambuco          ,Nordeste    ,414.2,561.7,459.2,640.0,Sem problemas                                     
Lagoa Santa,3137601,MG,Minas Gerais        ,Sudeste     ,631.2,580.0,744.2,960.0,Sem problemas                                     
Rio Largo,2707701,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,484.1,497.1,485.4,600.0,Sem problemas                                     
Rio Branco,1200401,AC,Acre                ,Norte       ,,,,,Missing - Sem informação                          
São Luís,2111300,MA,Maranhão            ,Nordeste    ,435.9,507.7,377.3,480.0,Sem problemas                                     
Ipiaú,2913903,BA,Bahia               ,Nordeste    ,451.5,429.8,378.0,520.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,440.1,,600.0,Sem problemas                                     
São Francisco do Conde,2929206,BA,Bahia               ,Nordeste    ,,589.8,,940.0,Sem problemas                                     
Augusto Corrêa,1500909,PA,Pará                ,Norte       ,355.7,402.9,417.7,580.0,Sem problemas                                     
Porto Velho,1100205,RO,Rondônia            ,Norte       ,588.6,646.8,665.8,540.0,Sem problemas                                     
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,574.5,534.6,582.0,640.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
São José dos Campos,3549904,SP,São Paulo           ,Sudeste     ,518.5,512.0,685.8,520.0,Sem problemas                                     
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,466.5,514.9,489.3,820.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,445.5,363.4,412.4,780.0,Sem problemas                                     
Atibaia,3504107,SP,São Paulo           ,Sudeste     ,497.2,578.0,639.9,680.0,Sem problemas                                     
Pio IX,2208205,PI,Piauí               ,Nordeste    ,463.2,433.2,452.2,620.0,Sem problemas                                     
Maringá,4115200,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Santa Luzia do Paruá,2110039,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Jaguariúna,3524709,SP,São Paulo           ,Sudeste     ,593.4,559.0,654.1,580.0,Sem problemas                                     
Santa Helena,4123501,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Urbano Santos,2112605,MA,Maranhão            ,Nordeste    ,495.7,511.5,460.6,480.0,Sem problemas                                     
Três Lagoas,5008305,MS,Mato Grosso do Sul  ,Centro-Oeste,,,,,Missing - Sem informação                          
Pindobaçu,2924603,BA,Bahia               ,Nordeste    ,435.8,452.9,391.6,0.0,Parte desconectada                                
Muriaé,3143906,MG,Minas Gerais        ,Sudeste     ,436.1,545.7,392.8,540.0,Sem problemas                                     
Catalão,5205109,GO,Goiás               ,Centro-Oeste,429.3,526.3,569.4,760.0,Sem problemas                                     
Maringá,4115200,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Porteiras,2311108,CE,Ceará               ,Nordeste    ,535.6,498.3,416.2,720.0,Sem problemas                                     
Moreno,2609402,PE,Pernambuco          ,Nordeste    ,569.1,,528.9,,Missing - Sem informação                          
Parelhas,2408904,RN,Rio Grande do Norte ,Nordeste    ,419.4,571.3,566.7,820.0,Sem problemas                                     
Borba,1300805,AM,Amazonas            ,Norte       ,384.2,334.6,377.1,500.0,Sem problemas                                     
Altamira,1500602,PA,Pará                ,Norte       ,452.1,531.9,467.6,880.0,Sem problemas                                     
Cocos,2908101,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,351.9,,520.0,Sem problemas                                     
Americana,3501608,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Santo André,3547809,SP,São Paulo           ,Sudeste     ,469.2,611.8,481.2,560.0,Sem problemas                                     
Sinop,5107909,MT,Mato Grosso         ,Centro-Oeste,483.4,453.3,373.9,560.0,Sem problemas                                     
Indaiatuba,3520509,SP,São Paulo           ,Sudeste     ,579.0,579.1,513.1,800.0,Sem problemas                                     
Erechim,4307005,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Parintins,1303403,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Patos,2510808,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Santa Maria,4316907,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Bonito,2602308,PE,Pernambuco          ,Nordeste    ,409.9,417.2,411.8,0.0,Em Branco                                         
Barreiras,2903201,BA,Bahia               ,Nordeste    ,479.9,515.8,381.8,580.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Canindé de São Francisco,2801207,SE,Sergipe             ,Nordeste    ,,,,,Missing - Sem informação                          
Caetité,2905206,BA,Bahia               ,Nordeste    ,544.4,,627.2,,Missing - Sem informação                          
Bacabal,2101202,MA,Maranhão            ,Nordeste    ,402.8,393.7,428.6,320.0,Sem problemas                                     
João Lisboa,2105500,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Rio Branco,1200401,AC,Acre                ,Norte       ,,,,,Missing - Sem informação                          
Caicó,2402006,RN,Rio Grande do Norte ,Nordeste    ,504.6,399.9,584.3,540.0,Sem problemas                                     
Itaboraí,3301900,RJ,Rio de Janeiro      ,Sudeste     ,389.7,537.0,512.8,880.0,Sem problemas                                     
Abaetetuba,1500107,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Presidente Dutra,2109106,MA,Maranhão            ,Nordeste    ,479.9,496.4,438.3,500.0,Sem problemas                                     
Parauapebas,1505536,PA,Pará                ,Norte       ,590.1,543.3,493.5,620.0,Sem problemas                                     
Bom Jesus,2201903,PI,Piauí               ,Nordeste    ,,,,,Missing - Sem informação                          
Campo Largo,4104204,PR,Paraná              ,Sul         ,526.6,524.0,404.1,0.0,Em Branco                                         
Paulista,2610707,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Cícero Dantas,2907806,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,579.7,473.8,714.1,920.0,Sem problemas                                     
Sobral,2312908,CE,Ceará               ,Nordeste    ,359.8,533.0,572.9,940.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,560.1,564.4,569.7,760.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Rio Branco do Sul,4122206,PR,Paraná              ,Sul         ,417.7,452.0,413.2,580.0,Sem problemas                                     
Vigia,1508209,PA,Pará                ,Norte       ,492.9,446.2,389.3,740.0,Sem problemas                                     
Timbaúba,2615300,PE,Pernambuco          ,Nordeste    ,480.8,455.8,442.4,760.0,Sem problemas                                     
Catende,2604205,PE,Pernambuco          ,Nordeste    ,406.8,369.5,392.7,600.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,562.8,609.8,653.2,780.0,Sem problemas                                     
Ananindeua,1500800,PA,Pará                ,Norte       ,420.8,448.0,416.3,540.0,Sem problemas                                     
São José,4216602,SC,Santa Catarina      ,Sul         ,466.8,517.4,404.4,520.0,Sem problemas                                     
João Pessoa,2507507,PB,Paraíba             ,Nordeste    ,,561.8,,740.0,Sem problemas                                     
João Pessoa,2507507,PB,Paraíba             ,Nordeste    ,545.1,534.8,473.4,840.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,431.0,508.7,416.7,660.0,Sem problemas                                     
Piranga,3150802,MG,Minas Gerais        ,Sudeste     ,465.9,429.8,383.1,500.0,Sem problemas                                     
Maricá,3302700,RJ,Rio de Janeiro      ,Sudeste     ,557.9,585.4,671.9,860.0,Sem problemas                                     
Ibirité,3129806,MG,Minas Gerais        ,Sudeste     ,,553.3,,460.0,Sem problemas                                     
Floriano,2203909,PI,Piauí               ,Nordeste    ,,,,,Missing - Sem informação                          
Ananindeua,1500800,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Cocal,2202703,PI,Piauí               ,Nordeste    ,468.7,467.4,398.6,560.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,598.6,542.1,615.2,860.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,528.0,692.6,542.0,800.0,Sem problemas                                     
Saquarema,3305505,RJ,Rio de Janeiro      ,Sudeste     ,441.6,559.5,488.1,820.0,Sem problemas                                     
Cansanção,2906808,BA,Bahia               ,Nordeste    ,453.2,550.4,430.9,620.0,Sem problemas                                     
Iporá,5210208,GO,Goiás               ,Centro-Oeste,494.3,570.1,507.5,940.0,Sem problemas                                     
Manaus,1302603,AM,Amazonas            ,Norte       ,532.6,516.6,502.6,560.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Campos dos Goytacazes,3301009,RJ,Rio de Janeiro      ,Sudeste     ,548.2,598.0,601.9,660.0,Sem problemas                                     
Sorocaba,3552205,SP,São Paulo           ,Sudeste     ,607.5,545.1,483.5,440.0,Sem problemas                                     
Sinop,5107909,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
Contagem,3118601,MG,Minas Gerais        ,Sudeste     ,534.5,540.6,637.0,780.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,391.1,543.2,590.8,800.0,Sem problemas                                     
Candeias,2906501,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Maceió,2704302,AL,Alagoas             ,Nordeste    ,445.8,456.3,423.0,720.0,Sem problemas                                     
Barbacena,3105608,MG,Minas Gerais        ,Sudeste     ,355.0,458.6,388.9,580.0,Sem problemas                                     
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,422.2,523.9,480.4,660.0,Sem problemas                                     
Bela Cruz,2302305,CE,Ceará               ,Nordeste    ,453.5,472.9,401.3,600.0,Sem problemas                                     
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,500.6,515.9,417.7,480.0,Sem problemas                                     
João Pessoa,2507507,PB,Paraíba             ,Nordeste    ,466.9,557.2,397.6,700.0,Sem problemas                                     
São Carlos,3548906,SP,São Paulo           ,Sudeste     ,662.6,641.3,753.7,940.0,Sem problemas                                     
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,544.3,577.4,642.2,860.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Porangatu,5218003,GO,Goiás               ,Centro-Oeste,527.8,490.5,497.8,640.0,Sem problemas                                     
Avaré,3504503,SP,São Paulo           ,Sudeste     ,523.6,540.2,574.4,900.0,Sem problemas                                     
Venda Nova do Imigrante,3205069,ES,Espírito Santo      ,Sudeste     ,408.6,421.7,509.6,720.0,Sem problemas                                     
Ibicaraí,2912103,BA,Bahia               ,Nordeste    ,648.4,578.3,704.2,960.0,Sem problemas                                     
Girau do Ponciano,2702900,AL,Alagoas             ,Nordeste    ,517.2,611.4,700.2,960.0,Sem problemas                                     
Niterói,3303302,RJ,Rio de Janeiro      ,Sudeste     ,627.9,564.7,718.2,900.0,Sem problemas                                     
Imperatriz,2105302,MA,Maranhão            ,Nordeste    ,662.7,603.0,644.3,720.0,Sem problemas                                     
Tabira,2614600,PE,Pernambuco          ,Nordeste    ,559.7,546.8,632.6,560.0,Sem problemas                                     
Olinda,2609600,PE,Pernambuco          ,Nordeste    ,444.0,487.3,429.3,560.0,Sem problemas                                     
Arapiraca,2700300,AL,Alagoas             ,Nordeste    ,390.5,328.2,430.4,0.0,Fuga ao tema                                      
Sant'Ana do Livramento,4317103,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
São João Nepomuceno,3162906,MG,Minas Gerais        ,Sudeste     ,481.9,535.0,571.8,880.0,Sem problemas                                     
Ji-Paraná,1100122,RO,Rondônia            ,Norte       ,412.5,566.6,379.4,700.0,Sem problemas                                     
Mucajaí,1400308,RR,Roraima             ,Norte       ,385.1,493.4,467.1,0.0,Em Branco                                         
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,463.9,532.3,577.3,840.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,458.7,548.4,438.6,760.0,Sem problemas                                     
Porto Velho,1100205,RO,Rondônia            ,Norte       ,,,,,Missing - Sem informação                          
Pinheiro,2108603,MA,Maranhão            ,Nordeste    ,,447.9,,400.0,Sem problemas                                     
Carangola,3113305,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Cotia,3513009,SP,São Paulo           ,Sudeste     ,633.1,624.4,580.3,660.0,Sem problemas                                     
Governador Valadares,3127701,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Araraquara,3503208,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Florianópolis,4205407,SC,Santa Catarina      ,Sul         ,585.4,605.6,691.9,740.0,Sem problemas                                     
Domingos Martins,3201902,ES,Espírito Santo      ,Sudeste     ,516.2,560.0,518.5,860.0,Sem problemas                                     
Altamira,1500602,PA,Pará                ,Norte       ,424.5,444.3,407.1,360.0,Sem problemas                                     
Parnamirim,2403251,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Poços de Caldas,3151800,MG,Minas Gerais        ,Sudeste     ,545.4,588.0,590.9,600.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,527.3,593.9,413.8,0.0,Cópia Texto Motivador                             
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,477.2,611.1,532.8,580.0,Sem problemas                                     
Ouro Preto,3146107,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,458.5,424.7,543.6,520.0,Sem problemas                                     
Goiânia,5208707,GO,Goiás               ,Centro-Oeste,470.6,507.7,561.0,600.0,Sem problemas                                     
Araguari,3103504,MG,Minas Gerais        ,Sudeste     ,366.1,534.9,501.7,600.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,367.0,517.0,430.4,620.0,Sem problemas                                     
Sumé,2516300,PB,Paraíba             ,Nordeste    ,,576.7,,760.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
